Wall time,Step,Value
1565731489.972167,1590,1.714115858078003
1565731492.0730636,1610,1.7814394235610962
1565731493.1142087,1620,1.7217446565628052
1565731495.1688907,1640,1.7541730403900146
1565731496.211373,1650,1.6667852401733398
1565731498.291687,1670,1.7379565238952637
1565731499.35038,1680,1.8847414255142212
1565731502.4307308,1710,1.6290596723556519
1565731506.5891411,1750,1.6491854190826416
1565731507.5756273,1760,1.7096061706542969
1565731508.587347,1770,1.8952915668487549
1565731509.6214857,1780,1.810469388961792
1565731511.706948,1800,1.6983168125152588
1565731512.7325397,1810,1.6164288520812988
1565731514.7635689,1830,1.6152102947235107
1565731516.855637,1850,1.7242100238800049
1565731517.8597097,1860,1.6423156261444092
1565731518.902588,1870,1.6738537549972534
1565731519.9197001,1880,1.7200654745101929
1565731522.3067918,1900,1.7388200759887695
1565731523.3065403,1910,1.7410403490066528
1565731530.5724564,1980,1.615757942199707
1565731535.045747,2020,1.829347848892212
1565731539.189372,2060,1.654020071029663
1565731540.2329245,2070,1.5533899068832397
1565731541.2920105,2080,1.621151328086853
1565731545.4446042,2120,1.5580108165740967
1565731546.4878602,2130,1.6158751249313354
1565731547.5376167,2140,1.6687065362930298
1565731548.588218,2150,1.5996711254119873
1565731551.6326156,2180,1.6172651052474976
1565731552.6825867,2190,1.5985958576202393
1565731555.838571,2220,1.6526662111282349
1565731556.8934987,2230,1.5766175985336304
1565731558.9883687,2250,1.6958369016647339
1565731560.015075,2260,1.62522292137146
1565731561.0567815,2270,1.6917895078659058
1565731563.1117132,2290,1.5632154941558838
1565731564.4381828,2300,1.5443156957626343
1565731565.489829,2310,1.6393773555755615
1565731566.5403185,2320,1.6626349687576294
1565731567.5784297,2330,1.7254540920257568
1565731568.6163661,2340,1.8005379438400269
1565731571.7452943,2370,1.5602134466171265
1565731572.8014586,2380,1.63916015625
1565731574.9120188,2400,1.6477822065353394
1565731579.0299711,2440,1.7133294343948364
1565731580.0809364,2450,1.5090588331222534
1565731582.152327,2470,1.6139637231826782
1565731584.2320879,2490,1.7507926225662231
1565731585.3044822,2500,1.5457103252410889
1565731590.5399406,2550,1.6973779201507568
1565731593.6958091,2580,1.5823463201522827
1565731594.7435286,2590,1.7115687131881714
1565731595.8190382,2600,1.6495790481567383
1565731596.850746,2610,1.5037144422531128
1565731598.9486687,2630,1.6546821594238281
1565731603.1438203,2670,1.632562518119812
1565731605.2394476,2690,1.498138189315796
1565731607.355611,2710,1.616268277168274
1565731608.4047906,2720,1.6313412189483643
1565731609.4542391,2730,1.5111160278320312
1565731613.6169171,2770,1.599023699760437
1565731614.6678364,2780,1.6013160943984985
1565731616.7918446,2800,1.4663530588150024
1565731618.9049716,2820,1.5236355066299438
1565731620.9881005,2840,1.6101549863815308
1565731626.1864944,2890,1.483236312866211
1565731628.3056717,2910,1.5982918739318848
1565731629.3625333,2920,1.5227761268615723
1565731632.4534125,2950,1.6411174535751343
1565731634.503948,2970,1.5178600549697876
1565731635.513019,2980,1.611753225326538
1565731636.5608697,2990,1.6130075454711914
1565731638.9271913,3010,1.5650235414505005
1565731639.9774382,3020,1.7540568113327026
1565731641.025189,3030,1.5699164867401123
1565731645.1268902,3070,1.6801114082336426
1565731646.135721,3080,1.5699673891067505
1565731648.2644491,3100,1.5877554416656494
1565731651.3787067,3130,1.6474615335464478
1565731655.5966277,3170,1.5568764209747314
1565731656.6376445,3180,1.5650051832199097
1565731657.630933,3190,1.5513710975646973
1565731658.6389527,3200,1.6914458274841309
1565731660.7142909,3220,1.5424466133117676
1565731663.8703015,3250,1.5323433876037598
1565731664.8796434,3260,1.5843442678451538
1565731665.8874164,3270,1.6498924493789673
1565731669.0165806,3300,1.540410041809082
1565731670.0550766,3310,1.5014675855636597
1565731672.1513247,3330,1.6100521087646484
1565731676.3022346,3370,1.4372165203094482
1565731678.3158638,3390,1.4881824254989624
1565731680.360287,3410,1.5736231803894043
1565731681.4040155,3420,1.6511290073394775
1565731682.4604478,3430,1.6248438358306885
1565731683.5147166,3440,1.7090826034545898
1565731684.527357,3450,1.4573180675506592
1565731686.6290271,3470,1.5832290649414062
1565731687.6696842,3480,1.5245766639709473
1565731690.8366134,3510,1.5671544075012207
1565731692.9227326,3530,1.625540852546692
1565731693.9760046,3540,1.4876726865768433
1565731696.0232332,3560,1.614719033241272
1565731698.0852706,3580,1.619125485420227
1565731699.1373274,3590,1.5060580968856812
1565731700.2054157,3600,1.4901211261749268
1565731702.296628,3620,1.613665223121643
1565731703.3519542,3630,1.5435988903045654
1565731704.3902235,3640,1.504578948020935
1565731705.4109154,3650,1.6229010820388794
1565731707.4797044,3670,1.5428332090377808
1565731708.4714727,3680,1.6262248754501343
1565731710.5543272,3700,1.567986249923706
1565731711.6091487,3710,1.4286377429962158
1565731713.703452,3730,1.569703221321106
1565731715.786737,3750,1.5679411888122559
1565731717.9072812,3770,1.5203924179077148
1565731718.9825807,3780,1.4860178232192993
1565731720.0433147,3790,1.5473095178604126
1565731722.1285675,3810,1.425782561302185
1565731723.1628969,3820,1.7038791179656982
1565731726.3135552,3850,1.5929841995239258
1565731727.375954,3860,1.584765911102295
1565731728.4262116,3870,1.6092655658721924
1565731729.4779973,3880,1.5673208236694336
1565731731.5940568,3900,1.5364975929260254
1565731732.6522264,3910,1.5042977333068848
1565731733.710916,3920,1.5125319957733154
1565731734.751737,3930,1.4401887655258179
1565731739.9486978,3980,1.6686452627182007
1565731744.2942147,4020,1.5783756971359253
1565731745.316935,4030,1.5385998487472534
1565731747.3689864,4050,1.6224697828292847
1565731750.5234728,4080,1.4474873542785645
1565731757.7871256,4150,1.559321403503418
1565731758.840626,4160,1.4581891298294067
1565731761.971984,4190,1.5607259273529053
1565731763.0408502,4200,1.523438811302185
1565731764.1008837,4210,1.5510848760604858
1565731765.1459746,4220,1.558634877204895
1565731767.2302127,4240,1.401322841644287
1565731769.3367727,4260,1.4587652683258057
1565731771.4078474,4280,1.4317554235458374
1565731773.8228867,4300,1.5180730819702148
1565731778.9841409,4350,1.4059733152389526
1565731783.1065483,4390,1.4271708726882935
1565731784.1172185,4400,1.5707042217254639
1565731785.1415334,4410,1.4273481369018555
1565731786.1889937,4420,1.4843703508377075
1565731788.285407,4440,1.4218324422836304
1565731789.3326504,4450,1.366445779800415
1565731792.4655182,4480,1.4487390518188477
1565731795.618561,4510,1.3581089973449707
1565731798.7403617,4540,1.483825445175171
1565731801.861669,4570,1.4108349084854126
1565731802.854672,4580,1.4361040592193604
1565731803.9122775,4590,1.4937912225723267
1565731804.9681523,4600,1.4024834632873535
1565731806.0225394,4610,1.4817155599594116
1565731808.116358,4630,1.4326289892196655
1565731809.1646523,4640,1.510157823562622
1565731810.2263877,4650,1.453412413597107
1565731812.3307855,4670,1.4646714925765991
1565731813.3731673,4680,1.3978321552276611
1565731814.416112,4690,1.431577205657959
1565731816.4817762,4710,1.501613974571228
1565731818.527762,4730,1.3900185823440552
1565731819.5454395,4740,1.411126732826233
1565731823.658441,4780,1.5054328441619873
1565731828.0812092,4820,1.339756727218628
1565731831.1834793,4850,1.4813069105148315
1565731832.2171874,4860,1.4108747243881226
1565731834.3164985,4880,1.5082554817199707
1565731835.3241248,4890,1.4459830522537231
1565731837.3605802,4910,1.4731632471084595
1565731839.438159,4930,1.4535115957260132
1565731842.5214224,4960,1.3582558631896973
1565731850.1389065,5030,1.3274738788604736
1565731853.296136,5060,1.3999513387680054
1565731854.349372,5070,1.3868087530136108
1565731857.8227515,5100,1.4302570819854736
1565731858.851698,5110,1.4368757009506226
1565731859.891083,5120,1.344916820526123
1565731861.949247,5140,1.4014297723770142
1565731862.9857445,5150,1.442747712135315
1565731863.9990082,5160,1.442536473274231
1565731865.010855,5170,1.470447301864624
1565731867.0745704,5190,1.4715033769607544
1565731872.2842214,5240,1.3146562576293945
1565731873.3038433,5250,1.4356980323791504
1565731879.6128697,5310,1.3531564474105835
1565731881.6787736,5330,1.3375098705291748
1565731882.6986303,5340,1.2351131439208984
1565731883.7304056,5350,1.5125706195831299
1565731884.7860672,5360,1.210524082183838
1565731885.839588,5370,1.3492541313171387
1565731886.843219,5380,1.3080995082855225
1565731887.8534114,5390,1.3109567165374756
1565731889.1641557,5400,1.254987359046936
1565731890.185508,5410,1.3183279037475586
1565731891.1986144,5420,1.2178387641906738
1565731893.2969615,5440,1.3288010358810425
1565731896.438549,5470,1.2814029455184937
1565731897.462577,5480,1.3123500347137451
1565731898.5030966,5490,1.212050437927246
1565731900.5994701,5510,1.3203973770141602
1565731901.638963,5520,1.255431890487671
1565731902.680865,5530,1.3371483087539673
1565731904.7853556,5550,1.268283724784851
1565731906.896885,5570,1.4554829597473145
1565731908.9647121,5590,1.4029674530029297
1565731910.0126421,5600,1.5060795545578003
1565731913.0720408,5630,1.379818081855774
1565731914.1099539,5640,1.3015358448028564
1565731915.1716855,5650,1.3206442594528198
1565731917.2627583,5670,1.1859337091445923
1565731918.3050504,5680,1.3021715879440308
1565731919.3496776,5690,1.3749561309814453
1565731921.475863,5710,1.3327364921569824
1565731923.5800848,5730,1.2636317014694214
1565731924.650327,5740,1.327986717224121
1565731927.7799964,5770,1.246366262435913
1565731928.831123,5780,1.3110398054122925
1565731929.8763206,5790,1.3557138442993164
1565731930.9492097,5800,1.4938042163848877
1565731932.0098915,5810,1.3001221418380737
1565731933.0586362,5820,1.3020515441894531
1565731934.056566,5830,1.454663872718811
1565731935.0658033,5840,1.4237029552459717
1565731937.1354501,5860,1.5418899059295654
1565731938.1723788,5870,1.4398294687271118
1565731939.217385,5880,1.3445124626159668
1565731942.6004636,5910,1.2846457958221436
1565731943.639837,5920,1.2309023141860962
1565731944.6861,5930,1.3444693088531494
1565731946.7491992,5950,1.2697303295135498
1565731947.7892158,5960,1.331323504447937
1565731948.8497293,5970,1.291623830795288
1565731949.8993697,5980,1.4518778324127197
1565731952.0216835,6000,1.427882432937622
1565731954.4428477,6020,1.3091250658035278
1565731955.480609,6030,1.1982266902923584
1565731956.5344396,6040,1.3629618883132935
1565731958.650311,6060,1.304418683052063
1565731960.7452426,6080,1.3650786876678467
1565731962.8603692,6100,1.2692257165908813
1565731963.9201283,6110,1.3402599096298218
1565731964.969368,6120,1.3211555480957031
1565731968.0473278,6150,1.1799696683883667
1565731972.1935236,6190,1.402786374092102
1565731973.576479,6200,1.3606200218200684
