Wall time,Step,Value
1565731325.6951187,30,0.1875
1565731327.7766125,50,0.203125
1565731328.8027167,60,0.25
1565731330.8676832,80,0.3125
1565731333.3545494,100,0.234375
1565731334.3593626,110,0.28125
1565731336.456486,130,0.27734375
1565731337.5096674,140,0.26953125
1565731338.5566206,150,0.32421875
1565731339.598767,160,0.25390625
1565731340.6505518,170,0.27734375
1565731341.683012,180,0.30078125
1565731342.7155282,190,0.29296875
1565731344.0481193,200,0.30078125
1565731348.1392596,240,0.3125
1565731349.1833584,250,0.328125
1565731354.6867733,300,0.34375
1565731355.737837,310,0.33203125
1565731357.8282762,330,0.26953125
1565731358.8823595,340,0.2578125
1565731360.9722896,360,0.33203125
1565731364.072198,390,0.3828125
1565731365.392972,400,0.3515625
1565731367.4816964,420,0.36328125
1565731368.527689,430,0.33984375
1565731369.549191,440,0.36328125
1565731370.5948477,450,0.28515625
1565731372.683794,470,0.390625
1565731374.7712061,490,0.32421875
1565731376.1081882,500,0.33203125
1565731379.2726703,530,0.390625
1565731380.3276997,540,0.36328125
1565731381.3688238,550,0.3828125
1565731382.4110317,560,0.36328125
1565731383.4689367,570,0.33984375
1565731386.662552,600,0.3125
1565731387.72277,610,0.40625
1565731389.800698,630,0.359375
1565731391.851103,650,0.3203125
1565731392.8817084,660,0.39453125
1565731393.9214034,670,0.41015625
1565731394.9542594,680,0.3671875
1565731397.9822435,710,0.390625
1565731399.0026894,720,0.390625
1565731400.0370073,730,0.3828125
1565731401.0575352,740,0.41796875
1565731403.1530921,760,0.3515625
1565731405.252828,780,0.375
1565731406.2992535,790,0.29296875
1565731411.826283,840,0.39453125
1565731412.9188106,850,0.39453125
1565731413.9632356,860,0.39453125
1565731415.0094955,870,0.35546875
1565731416.0503557,880,0.390625
1565731417.0890567,890,0.3359375
1565731422.2547505,940,0.4375
1565731430.892504,1020,0.40625
1565731432.9017644,1040,0.47265625
1565731433.9211354,1050,0.3828125
1565731434.9609804,1060,0.33984375
1565731442.255064,1130,0.38671875
1565731445.3450422,1160,0.40234375
1565731447.4438903,1180,0.3984375
1565731448.462107,1190,0.375
1565731449.5051956,1200,0.43359375
1565731453.7006128,1240,0.4375
1565731454.7359674,1250,0.421875
1565731455.7878351,1260,0.33984375
1565731458.924204,1290,0.359375
1565731459.9838853,1300,0.4921875
1565731463.1224902,1330,0.4140625
1565731467.2101555,1370,0.4140625
