Wall time,Step,Value
1565964483.2751806,3020,0.55078125
1565964484.2996619,3030,0.5234375
1565964488.4729342,3070,0.53515625
1565964489.4839885,3080,0.453125
1565964491.5740447,3100,0.453125
1565964494.634431,3130,0.5234375
1565964498.8324926,3170,0.4609375
1565964499.8879442,3180,0.43359375
1565964500.933378,3190,0.48828125
1565964502.2798722,3200,0.4921875
1565964504.3653195,3220,0.46484375
1565964507.501147,3250,0.52734375
1565964508.533199,3260,0.46875
1565964509.5539756,3270,0.48828125
1565964512.9449074,3300,0.4765625
1565964516.0650377,3330,0.47265625
1565964522.2172034,3390,0.48046875
1565964524.2788491,3410,0.4921875
1565964527.444795,3440,0.5546875
1565964528.49727,3450,0.546875
1565964530.5910573,3470,0.5390625
1565964531.6433403,3480,0.55078125
1565964537.1353383,3530,0.51953125
1565964538.1826146,3540,0.51953125
1565964542.3633437,3580,0.51171875
1565964544.4791365,3600,0.4921875
1565964547.6339724,3630,0.45703125
1565964551.8342903,3670,0.4921875
1565964555.9795704,3710,0.55859375
1565964558.0565896,3730,0.53125
1565964562.1806571,3770,0.515625
1565964563.1947348,3780,0.50390625
1565964564.2206924,3790,0.5625
1565964566.5639744,3810,0.5234375
1565964571.8370388,3860,0.5546875
1565964572.8878133,3870,0.546875
1565964577.3444312,3910,0.47265625
1565964578.389225,3920,0.546875
1565964579.443486,3930,0.53125
1565964590.4358044,4030,0.52734375
1565964595.677034,4080,0.56640625
1565964602.896185,4150,0.5703125
1565964603.9428144,4160,0.5234375
1565964609.2272024,4210,0.66015625
1565964610.318159,4220,0.578125
1565964612.44871,4240,0.6171875
1565964614.5473537,4260,0.58984375
1565964619.032429,4300,0.609375
1565964628.3750913,4390,0.52734375
1565964630.4856744,4410,0.66015625
1565964631.534879,4420,0.5703125
1565964634.6957352,4450,0.58203125
1565964640.9716518,4510,0.57421875
1565964649.3510866,4590,0.5625
1565964650.4212227,4600,0.59375
1565964651.4647102,4610,0.59765625
1565964653.568765,4630,0.59375
