Wall time,Step,Value
1565733384.3138702,50,2.5137939453125
1565733385.3346756,60,2.3084213733673096
1565733389.8268359,100,2.0175065994262695
1565733390.876363,110,2.0739939212799072
1565733394.0180132,140,2.0451009273529053
1565733395.0605178,150,1.9152880907058716
1565733398.1123137,180,1.7902157306671143
1565733399.1376283,190,1.8164409399032593
1565733400.422694,200,1.7591902017593384
1565733404.543207,240,1.7673602104187012
1565733413.91895,330,1.6312706470489502
1565733417.0417695,360,1.7008130550384521
1565733421.2213,400,1.7385650873184204
1565733423.3070047,420,1.667873740196228
1565733425.382527,440,1.5983352661132812
1565733426.3853872,450,1.6862095594406128
1565733428.467061,470,1.635426640510559
1565733430.5080967,490,1.6116454601287842
1565733434.8920963,530,1.6511826515197754
1565733435.929014,540,1.7254281044006348
1565733436.9666584,550,1.7899284362792969
1565733438.0133455,560,1.5981276035308838
1565733439.0503356,570,1.5245485305786133
1565733445.347533,630,1.5781683921813965
1565733447.4488087,650,1.6307247877120972
1565733448.4845173,660,1.5345724821090698
1565733449.5187533,670,1.7353487014770508
1565733450.5642145,680,1.5687175989151
1565733454.0164347,710,1.572775959968567
1565733455.0660825,720,1.5842738151550293
1565733456.1183298,730,1.5655145645141602
1565733457.1677604,740,1.5967148542404175
1565733462.3059015,790,1.9846978187561035
1565733467.3877,840,1.6181275844573975
1565733470.512028,870,1.5767043828964233
1565733471.5634925,880,1.627485752105713
1565733478.0130932,940,1.4697434902191162
1565733486.5546033,1020,1.5153096914291382
1565733489.6710668,1050,1.5106161832809448
1565733490.7221239,1060,1.6400351524353027
1565733498.246257,1130,1.4513089656829834
1565733501.336619,1160,1.6628174781799316
1565733503.398278,1180,1.554421305656433
1565733510.7605064,1250,1.5560766458511353
1565733511.8005607,1260,1.562363862991333
1565733514.9596455,1290,1.496275544166565
1565733516.024476,1300,1.5546543598175049
1565733523.3213727,1370,1.7764265537261963
1565733525.4205694,1390,1.5190284252166748
1565733527.5350983,1410,1.667241096496582
1565733528.5785768,1420,1.4967767000198364
1565733529.6245446,1430,1.3790937662124634
1565733536.9212985,1500,1.4141390323638916
1565733542.077285,1550,1.5131956338882446
1565733544.1809459,1570,1.5343985557556152
1565733545.252245,1580,1.5147364139556885
1565733546.3237402,1590,1.3976444005966187
1565733549.4864228,1620,1.5408605337142944
1565733552.5743427,1650,1.5147931575775146
1565733554.660001,1670,1.4977446794509888
1565733555.712175,1680,1.4368089437484741
1565733558.8507872,1710,1.553391695022583
1565733565.0045211,1770,1.531477928161621
1565733566.0126889,1780,1.527591586112976
1565733568.1145797,1800,1.3817508220672607
1565733571.1970952,1830,1.393584132194519
1565733573.2373092,1850,1.537172794342041
1565733574.2831857,1860,1.5126959085464478
1565733576.3742008,1880,1.5070680379867554
1565733578.4447577,1900,1.4137547016143799
1565733579.485936,1910,1.407612919807434
1565733586.677879,1980,1.39084792137146
1565733595.2692404,2060,1.527370810508728
1565733596.2872798,2070,1.5326656103134155
1565733597.309491,2080,1.426928997039795
