Wall time,Step,Value
1565733684.0950396,2910,0.515625
1565733685.1522276,2920,0.45703125
1565733690.3375,2970,0.453125
1565733691.378623,2980,0.515625
1565733694.8318734,3010,0.4609375
1565733695.8837218,3020,0.5859375
1565733696.9188514,3030,0.44921875
1565733701.068443,3070,0.46484375
1565733702.105486,3080,0.54296875
1565733704.1538994,3100,0.4765625
1565733707.3014143,3130,0.4375
1565733711.4768565,3170,0.42578125
1565733712.525836,3180,0.4765625
1565733713.558395,3190,0.49609375
1565733714.6143816,3200,0.40625
1565733716.6933615,3220,0.4140625
1565733719.8400993,3250,0.4765625
1565733720.8407583,3260,0.4765625
1565733721.8926456,3270,0.44140625
1565733725.3896213,3300,0.49609375
1565733728.5065546,3330,0.5078125
1565733734.7703497,3390,0.51171875
1565733736.888436,3410,0.47265625
1565733740.021361,3440,0.48046875
1565733741.071323,3450,0.51953125
1565733743.1637251,3470,0.51171875
1565733744.2116375,3480,0.4765625
1565733749.4711459,3530,0.46484375
1565733750.514296,3540,0.53515625
1565733754.627263,3580,0.44921875
1565733756.7567723,3600,0.40234375
1565733759.9171543,3630,0.53515625
1565733764.0430999,3670,0.48046875
1565733768.2503898,3710,0.4921875
1565733770.3525317,3730,0.4765625
1565733774.5577705,3770,0.4765625
1565733775.6090271,3780,0.51953125
1565733776.6669228,3790,0.44921875
1565733778.7925508,3810,0.53515625
1565733784.0160298,3860,0.46484375
1565733785.066721,3870,0.53515625
1565733789.5340285,3910,0.50390625
1565733790.585041,3920,0.59765625
1565733791.609329,3930,0.46875
1565733802.2609773,4030,0.484375
1565733807.461616,4080,0.4609375
1565733814.6863132,4150,0.51953125
1565733815.7288728,4160,0.515625
1565733821.2685928,4210,0.4921875
1565733822.3207917,4220,0.44140625
1565733824.4001641,4240,0.4609375
1565733826.4868076,4260,0.46484375
1565733830.6134577,4300,0.5546875
1565733839.9969456,4390,0.45703125
1565733842.0951493,4410,0.47265625
1565733843.1430495,4420,0.484375
1565733846.2881682,4450,0.46484375
1565733852.6281626,4510,0.578125
1565733860.9230478,4590,0.51953125
1565733861.996827,4600,0.4609375
1565733863.0416768,4610,0.5703125
1565733865.0961874,4630,0.52734375
1565733866.148634,4640,0.4921875
1565733869.22125,4670,0.52734375
1565733870.2133772,4680,0.47265625
1565733875.4336636,4730,0.546875
1565733876.4639676,4740,0.48046875
1565733887.8472204,4850,0.54296875
1565733890.977482,4880,0.5234375
1565733892.0220103,4890,0.46484375
1565733894.0906887,4910,0.53515625
1565733896.0706248,4930,0.4921875
1565733899.1469545,4960,0.51171875
1565733910.8615303,5070,0.51953125
1565733914.9776237,5110,0.48828125
1565733916.0229783,5120,0.51953125
1565733918.1083395,5140,0.5078125
1565733921.2248378,5170,0.4765625
1565733923.2400723,5190,0.45703125
1565733928.43728,5240,0.5078125
1565733929.4451933,5250,0.46484375
1565733935.5936007,5310,0.4609375
1565733937.6774259,5330,0.53125
1565733938.7332063,5340,0.53515625
1565733939.7811408,5350,0.53515625
1565733940.836801,5360,0.45703125
1565733941.8951354,5370,0.45703125
1565733942.9100142,5380,0.5078125
1565733944.9985824,5400,0.53125
1565733947.0907974,5420,0.4375
1565733952.1773663,5470,0.53125
1565733953.2197895,5480,0.5
1565733954.2665486,5490,0.51171875
1565733956.372875,5510,0.48828125
1565733960.4621775,5550,0.53515625
1565733962.5443254,5570,0.5
1565733964.626306,5590,0.51953125
1565733968.7691698,5630,0.48828125
1565733969.8076339,5640,0.484375
