,dataset,sm,bin,smmax,treatment
111,LPS 24h d,6,1.2000000178813934,154,154
112,LPS 24h e,0,1.2000000178813934,175,175
113,LPS 24h e,1,1.2000000178813934,8,8
114,LPS 24h e,2,0.7000000178813934,6,6
115,LPS 24h e,3,0.9000000059604645,15,15
116,LPS 24h e,4,1.2000000178813934,184,184
117,LPS 24h e,5,1.2000000178813934,176,176
118,LPS 24h e,6,1.2000000178813934,135,135
119,LPS 24h f,0,1.2000000178813934,142,142
120,LPS 24h f,1,1.2000000178813934,24,24
121,LPS 24h f,2,1.2000000178813934,17,17
122,LPS 24h f,3,0.9000000059604645,40,40
123,LPS 24h f,4,0.9000000059604645,138,138
124,LPS 24h f,5,1.2000000178813934,140,140
125,LPS 24h f,6,1.2000000178813934,134,134
126,LPS 72h a,0,1.2000000178813934,139,139
127,LPS 72h a,1,1.2000000178813934,15,15
128,LPS 72h a,2,0.9000000059604645,11,11
129,LPS 72h a,3,1.2000000178813934,20,20
130,LPS 72h a,4,0.9000000059604645,170,170
131,LPS 72h a,5,0.9000000059604645,146,146
132,LPS 72h a,6,1.2000000178813934,145,145
133,LPS 72h b,0,1.2000000178813934,171,171
134,LPS 72h b,1,1.2000000178813934,9,9
135,LPS 72h b,2,1.2000000178813934,15,15
136,LPS 72h b,3,1.2000000178813934,37,37
137,LPS 72h b,4,1.2000000178813934,140,140
138,LPS 72h b,5,1.2000000178813934,103,103
139,LPS 72h b,6,0.9000000059604645,112,112
140,LPS 72h c,0,1.2000000178813934,149,149
141,LPS 72h c,1,1.2000000178813934,12,12
142,LPS 72h c,2,1.2000000178813934,12,12
143,LPS 72h c,3,1.2000000178813934,35,35
144,LPS 72h c,4,1.2000000178813934,159,159
145,LPS 72h c,5,1.2000000178813934,154,154
146,LPS 72h c,6,1.2000000178813934,116,116
147,LPS 72h d,0,1.2000000178813934,179,179
148,LPS 72h d,1,0.9000000059604645,5,5
149,LPS 72h d,2,0.9000000059604645,14,14
150,LPS 72h d,3,0.9000000059604645,40,40
151,LPS 72h d,4,1.2000000178813934,172,172
152,LPS 72h d,5,1.2000000178813934,157,157
153,LPS 72h d,6,1.2000000178813934,161,161
154,LPS 72h e,0,1.2000000178813934,174,174
155,LPS 72h e,1,1.2000000178813934,15,15
156,LPS 72h e,2,1.2000000178813934,10,10
157,LPS 72h e,3,0.9000000059604645,29,29
158,LPS 72h e,4,1.2000000178813934,146,146
159,LPS 72h e,5,1.2000000178813934,158,158
160,LPS 72h e,6,1.2000000178813934,172,172
161,LPS 72h f,0,1.2000000178813934,160,160
162,LPS 72h f,1,1.2000000178813934,6,6
163,LPS 72h f,2,1.2000000178813934,4,4
164,LPS 72h f,3,0.9000000059604645,17,17
165,LPS 72h f,4,0.9000000059604645,133,133
166,LPS 72h f,5,1.2000000178813934,133,133
167,LPS 72h f,6,1.2000000178813934,128,128
