,dataset,sm,bin,smmax,treatment
66,FSS 72h d,3,1.8000000417232513,115,115
67,FSS 72h d,4,1.8000000417232513,282,282
68,FSS 72h d,5,1.8000000417232513,287,287
69,FSS 72h d,6,1.8000000417232513,318,318
70,FSS 72h e,0,1.8000000417232513,397,397
71,FSS 72h e,1,1.8000000417232513,16,16
72,FSS 72h e,2,1.8000000417232513,14,14
73,FSS 72h e,3,1.8000000417232513,85,85
74,FSS 72h e,4,1.8000000417232513,334,334
75,FSS 72h e,5,1.8000000417232513,345,345
76,FSS 72h e,6,1.8000000417232513,330,330
77,FSS 72h f,0,1.5000000298023224,127,127
78,FSS 72h f,1,1.5000000298023224,18,18
79,FSS 72h f,2,1.8000000417232513,20,20
80,FSS 72h f,3,1.5000000298023224,42,42
81,FSS 72h f,4,1.8000000417232513,109,109
82,FSS 72h f,5,1.5000000298023224,76,76
83,FSS 72h f,6,1.8000000417232513,108,108
84,LPS 24h a,0,1.8000000417232513,357,357
85,LPS 24h a,1,1.5000000298023224,19,19
86,LPS 24h a,2,1.8000000417232513,37,37
87,LPS 24h a,3,1.5000000298023224,61,61
88,LPS 24h a,4,1.8000000417232513,425,425
89,LPS 24h a,5,1.8000000417232513,363,363
90,LPS 24h a,6,1.5000000298023224,323,323
91,LPS 24h b,0,1.8000000417232513,346,346
92,LPS 24h b,1,1.8000000417232513,11,11
93,LPS 24h b,2,1.8000000417232513,10,10
94,LPS 24h b,3,1.5000000298023224,52,52
95,LPS 24h b,4,1.5000000298023224,324,324
96,LPS 24h b,5,1.8000000417232513,245,245
97,LPS 24h b,6,1.8000000417232513,224,224
98,LPS 24h c,0,1.8000000417232513,375,375
99,LPS 24h c,1,1.5000000298023224,8,8
100,LPS 24h c,2,1.8000000417232513,13,13
101,LPS 24h c,3,1.5000000298023224,63,63
102,LPS 24h c,4,1.8000000417232513,393,393
103,LPS 24h c,5,1.8000000417232513,282,282
104,LPS 24h c,6,1.5000000298023224,285,285
105,LPS 24h d,0,1.8000000417232513,385,385
106,LPS 24h d,1,1.8000000417232513,22,22
107,LPS 24h d,2,1.5000000298023224,22,22
108,LPS 24h d,3,1.8000000417232513,79,79
109,LPS 24h d,4,1.8000000417232513,323,323
110,LPS 24h d,5,1.8000000417232513,324,324
111,LPS 24h d,6,1.8000000417232513,349,349
112,LPS 24h e,0,1.8000000417232513,413,413
113,LPS 24h e,1,1.8000000417232513,9,9
114,LPS 24h e,2,1.3000000417232513,17,17
115,LPS 24h e,3,1.5000000298023224,53,53
116,LPS 24h e,4,1.8000000417232513,412,412
117,LPS 24h e,5,1.8000000417232513,384,384
118,LPS 24h e,6,1.8000000417232513,299,299
119,LPS 24h f,0,1.8000000417232513,350,350
120,LPS 24h f,1,1.8000000417232513,30,30
121,LPS 24h f,2,1.8000000417232513,32,32
122,LPS 24h f,3,1.5000000298023224,101,101
123,LPS 24h f,4,1.5000000298023224,290,290
124,LPS 24h f,5,1.8000000417232513,262,262
125,LPS 24h f,6,1.8000000417232513,312,312
126,LPS 72h a,0,1.8000000417232513,328,328
127,LPS 72h a,1,1.8000000417232513,20,20
128,LPS 72h a,2,1.5000000298023224,22,22
129,LPS 72h a,3,1.8000000417232513,62,62
130,LPS 72h a,4,1.5000000298023224,396,396
131,LPS 72h a,5,1.5000000298023224,313,313
132,LPS 72h a,6,1.8000000417232513,341,341
133,LPS 72h b,0,1.8000000417232513,382,382
134,LPS 72h b,1,1.8000000417232513,16,16
135,LPS 72h b,2,1.8000000417232513,21,21
136,LPS 72h b,3,1.8000000417232513,93,93
137,LPS 72h b,4,1.8000000417232513,325,325
138,LPS 72h b,5,1.8000000417232513,227,227
139,LPS 72h b,6,1.5000000298023224,254,254
140,LPS 72h c,0,1.8000000417232513,374,374
141,LPS 72h c,1,1.8000000417232513,18,18
142,LPS 72h c,2,1.8000000417232513,22,22
143,LPS 72h c,3,1.8000000417232513,71,71
144,LPS 72h c,4,1.8000000417232513,335,335
145,LPS 72h c,5,1.8000000417232513,286,286
146,LPS 72h c,6,1.8000000417232513,247,247
147,LPS 72h d,0,1.8000000417232513,424,424
148,LPS 72h d,1,1.5000000298023224,9,9
149,LPS 72h d,2,1.5000000298023224,25,25
150,LPS 72h d,3,1.5000000298023224,109,109
151,LPS 72h d,4,1.8000000417232513,382,382
152,LPS 72h d,5,1.8000000417232513,307,307
153,LPS 72h d,6,1.8000000417232513,328,328
154,LPS 72h e,0,1.8000000417232513,381,381
155,LPS 72h e,1,1.8000000417232513,22,22
156,LPS 72h e,2,1.8000000417232513,20,20
157,LPS 72h e,3,1.5000000298023224,80,80
158,LPS 72h e,4,1.8000000417232513,332,332
159,LPS 72h e,5,1.8000000417232513,384,384
160,LPS 72h e,6,1.8000000417232513,361,361
161,LPS 72h f,0,1.8000000417232513,373,373
162,LPS 72h f,1,1.8000000417232513,7,7
163,LPS 72h f,2,1.8000000417232513,14,14
164,LPS 72h f,3,1.5000000298023224,60,60
165,LPS 72h f,4,1.5000000298023224,302,302
166,LPS 72h f,5,1.8000000417232513,277,277
167,LPS 72h f,6,1.8000000417232513,290,290
