,dataset,sm,bin,smmax,treatment
0,FSS 24h a,0,1.8000000417232513,287,287
1,FSS 24h a,1,1.8000000417232513,9,9
2,FSS 24h a,2,1.5000000298023224,4,4
3,FSS 24h a,3,1.5000000298023224,76,76
4,FSS 24h a,4,1.8000000417232513,277,277
5,FSS 24h a,5,1.8000000417232513,222,222
6,FSS 24h a,6,1.8000000417232513,222,222
7,FSS 24h b,0,1.8000000417232513,345,345
8,FSS 24h b,1,0.9000000059604645,5,5
9,FSS 24h b,2,1.5000000298023224,4,4
10,FSS 24h b,3,1.5000000298023224,45,45
11,FSS 24h b,4,1.8000000417232513,390,390
12,FSS 24h b,5,1.8000000417232513,156,156
13,FSS 24h b,6,1.8000000417232513,306,306
14,FSS 24h c,0,1.8000000417232513,378,378
15,FSS 24h c,1,1.5000000298023224,14,14
16,FSS 24h c,2,1.8000000417232513,27,27
17,FSS 24h c,3,1.8000000417232513,120,120
18,FSS 24h c,4,1.8000000417232513,297,297
19,FSS 24h c,5,1.5000000298023224,215,215
20,FSS 24h c,6,1.8000000417232513,293,293
21,FSS 24h d,0,1.8000000417232513,416,416
22,FSS 24h d,1,1.8000000417232513,21,21
23,FSS 24h d,2,1.8000000417232513,23,23
24,FSS 24h d,3,1.8000000417232513,96,96
25,FSS 24h d,4,1.8000000417232513,442,442
26,FSS 24h d,5,1.8000000417232513,326,326
27,FSS 24h d,6,1.8000000417232513,372,372
28,FSS 24h e,0,1.8000000417232513,396,396
29,FSS 24h e,1,1.5000000298023224,23,23
30,FSS 24h e,2,1.8000000417232513,19,19
31,FSS 24h e,3,1.5000000298023224,95,95
32,FSS 24h e,4,1.8000000417232513,358,358
33,FSS 24h e,5,1.5000000298023224,276,276
34,FSS 24h e,6,1.8000000417232513,309,309
35,FSS 24h f,0,1.5000000298023224,393,393
36,FSS 24h f,1,1.5000000298023224,25,25
37,FSS 24h f,2,1.5000000298023224,17,17
38,FSS 24h f,3,1.8000000417232513,73,73
39,FSS 24h f,4,1.8000000417232513,324,324
40,FSS 24h f,5,1.5000000298023224,341,341
41,FSS 24h f,6,1.5000000298023224,336,336
42,FSS 72h a,0,1.8000000417232513,375,375
43,FSS 72h a,1,1.8000000417232513,8,8
44,FSS 72h a,2,1.5000000298023224,13,13
45,FSS 72h a,3,1.8000000417232513,82,82
46,FSS 72h a,4,1.8000000417232513,329,329
47,FSS 72h a,5,1.8000000417232513,218,218
48,FSS 72h a,6,1.8000000417232513,238,238
49,FSS 72h b,0,1.8000000417232513,323,323
50,FSS 72h b,1,1.8000000417232513,13,13
51,FSS 72h b,2,1.5000000298023224,32,32
52,FSS 72h b,3,1.8000000417232513,84,84
53,FSS 72h b,4,1.8000000417232513,416,416
54,FSS 72h b,5,1.8000000417232513,231,231
55,FSS 72h b,6,1.8000000417232513,308,308
56,FSS 72h c,0,1.8000000417232513,314,314
57,FSS 72h c,1,1.8000000417232513,36,36
58,FSS 72h c,2,1.8000000417232513,35,35
59,FSS 72h c,3,1.5000000298023224,113,113
60,FSS 72h c,4,1.8000000417232513,213,213
61,FSS 72h c,5,1.8000000417232513,145,145
62,FSS 72h c,6,1.8000000417232513,193,193
63,FSS 72h d,0,1.8000000417232513,460,460
64,FSS 72h d,1,1.5000000298023224,18,18
65,FSS 72h d,2,1.8000000417232513,45,45
