,dataset,bin,smmax,smmax,smmax,smmax,smmax,smmax,smmax
sm,,,0,1,2,3,4,5,6
170,LPS 72h d,0.5,325.0,326.0,335.0,369.0,505.0,618.0,728.0
178,LPS 72h e,0.5,304.0,313.0,318.0,338.0,442.0,573.0,704.0
186,LPS 72h f,0.5,259.0,262.0,264.0,274.0,382.0,478.0,581.0
3,FSS 24h a,0.6000000238418579,677.0,679.0,680.0,730.0,869.0,978.0,1097.0
11,FSS 24h b,0.6000000238418579,747.0,0.0,749.0,781.0,1008.0,1086.0,1251.0
19,FSS 24h c,0.6000000238418579,795.0,801.0,818.0,896.0,1073.0,1172.0,1344.0
27,FSS 24h d,0.6000000238418579,1032.0,1037.0,1046.0,1104.0,1350.0,1511.0,1696.0
35,FSS 24h e,0.6000000238418579,875.0,885.0,896.0,950.0,1164.0,1303.0,1476.0
43,FSS 24h f,0.6000000238418579,909.0,920.0,932.0,975.0,1153.0,1328.0,1509.0
51,FSS 72h a,0.6000000238418579,747.0,749.0,752.0,813.0,1003.0,1124.0,1263.0
59,FSS 72h b,0.6000000238418579,826.0,827.0,844.0,892.0,1124.0,1238.0,1407.0
67,FSS 72h c,0.6000000238418579,662.0,673.0,698.0,771.0,885.0,954.0,1049.0
75,FSS 72h d,0.6000000238418579,985.0,993.0,1016.0,1082.0,1223.0,1375.0,1525.0
83,FSS 72h e,0.6000000238418579,878.0,884.0,891.0,954.0,1141.0,1338.0,1521.0
91,FSS 72h f,0.6000000238418579,298.0,305.0,313.0,341.0,398.0,440.0,500.0
99,LPS 24h a,0.6000000238418579,858.0,868.0,890.0,927.0,1169.0,1385.0,1585.0
107,LPS 24h b,0.6000000238418579,746.0,748.0,751.0,785.0,975.0,1100.0,1212.0
115,LPS 24h c,0.6000000238418579,831.0,835.0,843.0,882.0,1110.0,1259.0,1419.0
123,LPS 24h d,0.6000000238418579,887.0,893.0,905.0,952.0,1126.0,1309.0,1504.0
131,LPS 24h e,0.6000000238418579,937.0,938.0,949.0,987.0,1215.0,1423.0,1587.0
139,LPS 24h f,0.6000000238418579,843.0,849.0,864.0,925.0,1077.0,1199.0,1377.0
147,LPS 72h a,0.6000000238418579,835.0,840.0,851.0,893.0,1119.0,1286.0,1482.0
155,LPS 72h b,0.6000000238418579,798.0,805.0,811.0,867.0,1052.0,1176.0,1318.0
163,LPS 72h c,0.6000000238418579,862.0,868.0,878.0,914.0,1090.0,1222.0,1353.0
171,LPS 72h d,0.6000000238418579,973.0,977.0,988.0,1057.0,1267.0,1417.0,1584.0
179,LPS 72h e,0.6000000238418579,911.0,918.0,928.0,979.0,1165.0,1391.0,1580.0
187,LPS 72h f,0.6000000238418579,794.0,795.0,805.0,848.0,1017.0,1161.0,1323.0
4,FSS 24h a,0.699999988079071,1314.0,1319.0,1325.0,1366.0,1532.0,1609.0,1717.0
12,FSS 24h b,0.699999988079071,1478.0,0.0,1482.0,1502.0,1733.0,1790.0,1936.0
20,FSS 24h c,0.699999988079071,1631.0,1637.0,1644.0,1721.0,1891.0,2000.0,2159.0
28,FSS 24h d,0.699999988079071,1952.0,1954.0,1963.0,2017.0,2244.0,2429.0,2606.0
36,FSS 24h e,0.699999988079071,1706.0,1711.0,1722.0,1763.0,1976.0,2119.0,2244.0
44,FSS 24h f,0.699999988079071,1771.0,1779.0,1787.0,1849.0,2013.0,2173.0,2311.0
52,FSS 72h a,0.699999988079071,1509.0,1513.0,1517.0,1570.0,1747.0,1846.0,1975.0
60,FSS 72h b,0.699999988079071,1591.0,1592.0,1608.0,1660.0,1922.0,2010.0,2161.0
68,FSS 72h c,0.699999988079071,1214.0,1228.0,1243.0,1300.0,1384.0,1456.0,1547.0
76,FSS 72h d,0.699999988079071,1776.0,1786.0,1805.0,1891.0,2048.0,2186.0,2344.0
84,FSS 72h e,0.699999988079071,1781.0,0.0,1788.0,1837.0,2000.0,2205.0,2318.0
92,FSS 72h f,0.699999988079071,587.0,589.0,596.0,609.0,676.0,714.0,769.0
100,LPS 24h a,0.699999988079071,1775.0,1779.0,1807.0,1843.0,2088.0,2308.0,2458.0
108,LPS 24h b,0.699999988079071,1445.0,1446.0,1449.0,1487.0,1697.0,1798.0,1889.0
116,LPS 24h c,0.699999988079071,1677.0,1686.0,1694.0,1737.0,1921.0,2051.0,2193.0
124,LPS 24h d,0.699999988079071,1756.0,1759.0,1773.0,1808.0,2021.0,2168.0,2347.0
132,LPS 24h e,0.699999988079071,1831.0,1834.0,1839.0,1868.0,2102.0,2343.0,2470.0
140,LPS 24h f,0.699999988079071,1620.0,1632.0,1652.0,1706.0,1858.0,1989.0,2129.0
148,LPS 72h a,0.699999988079071,1645.0,1647.0,1657.0,1693.0,1985.0,2134.0,2295.0
156,LPS 72h b,0.699999988079071,1595.0,1598.0,1603.0,1666.0,1863.0,1960.0,2106.0
164,LPS 72h c,0.699999988079071,1630.0,1637.0,1652.0,1696.0,1896.0,2031.0,2155.0
172,LPS 72h d,0.699999988079071,1866.0,1871.0,1884.0,1959.0,2168.0,2297.0,2451.0
180,LPS 72h e,0.699999988079071,1847.0,1856.0,1864.0,1911.0,2121.0,2329.0,2500.0
188,LPS 72h f,0.699999988079071,1597.0,1599.0,1604.0,1665.0,1831.0,1961.0,2103.0
5,FSS 24h a,0.800000011920929,2028.0,2031.0,2037.0,2082.0,2291.0,2390.0,2484.0
13,FSS 24h b,0.800000011920929,2223.0,2224.0,2232.0,2271.0,2527.0,2561.0,2727.0
21,FSS 24h c,0.800000011920929,2504.0,2511.0,2516.0,2596.0,2774.0,2869.0,3040.0
29,FSS 24h d,0.800000011920929,2896.0,2898.0,2909.0,2973.0,3232.0,3389.0,3550.0
37,FSS 24h e,0.800000011920929,2534.0,2538.0,2546.0,2603.0,2810.0,2962.0,3088.0
45,FSS 24h f,0.800000011920929,2610.0,2611.0,2623.0,2678.0,2865.0,3061.0,3213.0
53,FSS 72h a,0.800000011920929,2283.0,2287.0,2291.0,2350.0,2564.0,2675.0,2820.0
61,FSS 72h b,0.800000011920929,2378.0,2379.0,2394.0,2473.0,2773.0,2870.0,2992.0
69,FSS 72h c,0.800000011920929,1795.0,1803.0,1820.0,1897.0,2003.0,2075.0,2167.0
