,index,sm,smmax,dataset,directory,cell_id,channel
59,59,0,0.9991365,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,8040,1
60,60,5,0.60754675,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,8354,1
61,61,4,0.7831311,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,8448,1
62,62,0,0.7668342,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,8829,1
63,63,4,0.7355295,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,8844,1
64,64,6,0.9048804,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9179,1
65,65,4,0.8896553,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9214,1
66,66,6,0.36609805,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9403,1
67,67,4,0.97385675,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9517,1
68,68,6,0.38299266,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9708,1
69,69,4,0.96207345,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9880,1
70,70,0,0.9683498,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9978,1
71,71,0,0.99107695,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,9987,1
72,0,0,0.40242913,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,146,1
73,1,4,0.8977343,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,320,1
74,2,0,0.377605,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,652,1
75,3,0,0.9990632,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,724,1
76,4,0,0.90433913,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,804,1
77,5,4,0.96056354,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,928,1
78,6,0,0.94622123,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1120,1
79,7,0,0.9897613,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1142,1
80,8,4,0.98045075,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1265,1
81,9,4,0.9966903,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1291,1
82,10,0,0.99651426,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1297,1
83,11,0,0.99538225,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1321,1
84,12,0,0.96246916,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1461,1
85,13,4,0.7756461,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1761,1
86,14,5,0.76908726,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,1784,1
87,15,0,0.71288234,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2001,1
88,16,5,0.8019389,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2180,1
89,17,4,0.88740027,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2372,1
90,18,6,0.78395057,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2377,1
91,19,5,0.95150876,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2546,1
92,20,0,0.99832946,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2598,1
93,21,0,0.47113195,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2853,1
94,22,6,0.5012244,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2862,1
95,23,0,0.9028267,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2957,1
96,24,0,0.73367554,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,2997,1
97,25,4,0.61023057,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3013,1
98,26,0,0.9995629,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3087,1
99,27,4,0.6261336,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3188,1
100,28,0,0.99662006,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3196,1
101,29,6,0.49858215,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3216,1
102,30,4,0.3285099,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3277,1
103,31,0,0.9942139,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3513,1
104,32,0,0.99138004,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3580,1
105,33,0,0.77337164,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3603,1
106,34,0,0.9908372,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3618,1
107,35,0,0.8744386,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3686,1
108,36,0,0.9999974,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3753,1
109,37,3,0.9970361,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,3968,1
110,38,0,0.9999771,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4098,1
111,39,0,0.9971222,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4384,1
112,40,4,0.7028563,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4441,1
113,41,4,0.9369059,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4586,1
114,42,4,0.9993137,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4742,1
115,43,4,0.7527972,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4812,1
116,44,0,0.9674406,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,4935,1
117,45,4,0.9969739,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5022,1
118,46,0,0.97694653,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5025,1
119,47,0,0.9869293,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5144,1
120,48,4,0.97009104,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5165,1
121,49,0,0.99922633,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5168,1
122,50,3,0.80016106,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5326,1
123,51,0,0.9912812,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5403,1
124,52,5,0.35355335,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5899,1
125,53,0,0.9951125,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5919,1
126,54,0,0.9236938,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,5933,1
127,55,0,0.9996171,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,6055,1
128,56,0,0.97417575,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,6277,1
129,57,4,0.9852861,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,6381,1
130,58,4,0.9778195,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,6461,1
131,59,0,0.99932814,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,6646,1
132,60,0,0.6524099,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,6948,1
133,61,0,0.92445457,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,7033,1
134,62,4,0.97958446,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,7477,1
135,63,0,0.9996946,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,7585,1
136,64,0,0.8992001,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,7593,1
137,65,0,0.99988663,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,7656,1
138,66,0,0.8861501,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8019,1
139,67,5,0.93884784,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8052,1
140,68,4,0.98077375,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8068,1
141,69,0,0.996736,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8157,1
142,70,4,0.9363616,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8509,1
143,71,4,0.52016705,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8510,1
144,72,3,0.91543484,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8781,1
145,73,0,0.99949336,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8803,1
146,74,0,0.5684562,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8806,1
147,75,6,0.91940874,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,8844,1
148,76,4,0.75036305,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9053,1
149,77,0,0.9997557,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9068,1
150,78,6,0.3613606,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9141,1
151,79,0,0.8354126,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9237,1
152,80,0,0.999468,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9266,1
153,81,0,0.9994517,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9586,1
154,82,0,0.99971193,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9692,1
155,83,4,0.9881995,phago_only_PhagoOnly_R2.mm,PhagoOnly_R2,9919,1
156,0,0,0.9813339,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,24,1
157,1,0,0.9866414,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,26,1
158,2,0,0.9708328,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,32,1
159,3,4,0.99914694,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,91,1
160,4,6,0.9024316,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,184,1
161,5,4,0.90797544,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,235,1
162,6,4,0.942556,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,265,1
