,dataset,probability,cluster,count
110,FSS 24h c,0.4000000059604645,0,43
111,FSS 24h c,0.4000000059604645,1,47
112,FSS 24h c,0.4000000059604645,2,50
113,FSS 24h c,0.4000000059604645,3,61
114,FSS 24h c,0.4000000059604645,4,83
115,FSS 24h c,0.4000000059604645,5,121
116,FSS 24h c,0.4000000059604645,6,151
166,FSS 24h d,0.4000000059604645,0,68
167,FSS 24h d,0.4000000059604645,1,75
168,FSS 24h d,0.4000000059604645,2,79
169,FSS 24h d,0.4000000059604645,3,91
170,FSS 24h d,0.4000000059604645,4,135
171,FSS 24h d,0.4000000059604645,5,173
172,FSS 24h d,0.4000000059604645,6,213
218,FSS 24h e,0.4000000059604645,0,46
219,FSS 24h e,0.4000000059604645,1,53
220,FSS 24h e,0.4000000059604645,2,54
221,FSS 24h e,0.4000000059604645,3,59
222,FSS 24h e,0.4000000059604645,4,82
223,FSS 24h e,0.4000000059604645,5,120
224,FSS 24h e,0.4000000059604645,6,159
269,FSS 24h f,0.4000000059604645,0,38
270,FSS 24h f,0.4000000059604645,1,43
271,FSS 24h f,0.4000000059604645,2,45
272,FSS 24h f,0.4000000059604645,3,56
273,FSS 24h f,0.4000000059604645,4,86
274,FSS 24h f,0.4000000059604645,5,123
275,FSS 24h f,0.4000000059604645,6,164
324,FSS 72h a,0.4000000059604645,0,44
325,FSS 72h a,0.4000000059604645,1,46
326,FSS 72h a,0.4000000059604645,2,50
327,FSS 72h a,0.4000000059604645,3,53
328,FSS 72h a,0.4000000059604645,4,91
329,FSS 72h a,0.4000000059604645,5,121
330,FSS 72h a,0.4000000059604645,6,141
379,FSS 72h b,0.4000000059604645,0,68
380,FSS 72h b,0.4000000059604645,1,72
381,FSS 72h b,0.4000000059604645,2,79
382,FSS 72h b,0.4000000059604645,3,90
383,FSS 72h b,0.4000000059604645,4,128
384,FSS 72h b,0.4000000059604645,5,160
385,FSS 72h b,0.4000000059604645,6,192
433,FSS 72h c,0.4000000059604645,0,46
434,FSS 72h c,0.4000000059604645,1,59
435,FSS 72h c,0.4000000059604645,2,63
436,FSS 72h c,0.4000000059604645,3,72
437,FSS 72h c,0.4000000059604645,4,97
438,FSS 72h c,0.4000000059604645,5,122
439,FSS 72h c,0.4000000059604645,6,143
488,FSS 72h d,0.4000000059604645,0,66
489,FSS 72h d,0.4000000059604645,1,71
490,FSS 72h d,0.4000000059604645,2,76
491,FSS 72h d,0.4000000059604645,3,84
492,FSS 72h d,0.4000000059604645,4,121
493,FSS 72h d,0.4000000059604645,5,158
494,FSS 72h d,0.4000000059604645,6,197
544,FSS 72h e,0.4000000059604645,0,47
545,FSS 72h e,0.4000000059604645,1,49
546,FSS 72h e,0.4000000059604645,2,50
547,FSS 72h e,0.4000000059604645,3,53
548,FSS 72h e,0.4000000059604645,4,84
549,FSS 72h e,0.4000000059604645,5,112
550,FSS 72h e,0.4000000059604645,6,145
595,FSS 72h f,0.4000000059604645,0,16
596,FSS 72h f,0.4000000059604645,1,17
597,FSS 72h f,0.4000000059604645,2,22
598,FSS 72h f,0.4000000059604645,3,24
599,FSS 72h f,0.4000000059604645,4,34
600,FSS 72h f,0.4000000059604645,5,44
601,FSS 72h f,0.4000000059604645,6,56
648,LPS 24h a,0.4000000059604645,0,54
649,LPS 24h a,0.4000000059604645,1,57
650,LPS 24h a,0.4000000059604645,2,62
651,LPS 24h a,0.4000000059604645,3,68
652,LPS 24h a,0.4000000059604645,4,111
653,LPS 24h a,0.4000000059604645,5,146
654,LPS 24h a,0.4000000059604645,6,175
702,LPS 24h b,0.4000000059604645,0,51
703,LPS 24h b,0.4000000059604645,1,54
704,LPS 24h b,0.4000000059604645,2,58
705,LPS 24h b,0.4000000059604645,3,64
706,LPS 24h b,0.4000000059604645,4,92
707,LPS 24h b,0.4000000059604645,5,116
708,LPS 24h b,0.4000000059604645,6,148
754,LPS 24h c,0.4000000059604645,0,46
755,LPS 24h c,0.4000000059604645,1,49
756,LPS 24h c,0.4000000059604645,2,52
757,LPS 24h c,0.4000000059604645,3,59
758,LPS 24h c,0.4000000059604645,4,102
759,LPS 24h c,0.4000000059604645,5,128
760,LPS 24h c,0.4000000059604645,6,165
809,LPS 24h d,0.4000000059604645,0,50
810,LPS 24h d,0.4000000059604645,1,56
811,LPS 24h d,0.4000000059604645,2,60
812,LPS 24h d,0.4000000059604645,3,67
813,LPS 24h d,0.4000000059604645,4,98
814,LPS 24h d,0.4000000059604645,5,130
815,LPS 24h d,0.4000000059604645,6,165
864,LPS 24h e,0.4000000059604645,0,51
865,LPS 24h e,0.4000000059604645,1,53
866,LPS 24h e,0.4000000059604645,2,57
867,LPS 24h e,0.4000000059604645,3,62
868,LPS 24h e,0.4000000059604645,4,108
869,LPS 24h e,0.4000000059604645,5,148
870,LPS 24h e,0.4000000059604645,6,182
916,LPS 24h f,0.4000000059604645,0,43
917,LPS 24h f,0.4000000059604645,1,53
918,LPS 24h f,0.4000000059604645,2,58
919,LPS 24h f,0.4000000059604645,3,67
920,LPS 24h f,0.4000000059604645,4,97
921,LPS 24h f,0.4000000059604645,5,128
922,LPS 24h f,0.4000000059604645,6,153
969,LPS 72h a,0.4000000059604645,0,39
970,LPS 72h a,0.4000000059604645,1,43
971,LPS 72h a,0.4000000059604645,2,49
972,LPS 72h a,0.4000000059604645,3,54
973,LPS 72h a,0.4000000059604645,4,89
974,LPS 72h a,0.4000000059604645,5,122
975,LPS 72h a,0.4000000059604645,6,157
1024,LPS 72h b,0.4000000059604645,0,57
1025,LPS 72h b,0.4000000059604645,1,58
1026,LPS 72h b,0.4000000059604645,2,63
1027,LPS 72h b,0.4000000059604645,3,72
1028,LPS 72h b,0.4000000059604645,4,101
1029,LPS 72h b,0.4000000059604645,5,125
1030,LPS 72h b,0.4000000059604645,6,153
1080,LPS 72h c,0.4000000059604645,0,48
1081,LPS 72h c,0.4000000059604645,1,52
1082,LPS 72h c,0.4000000059604645,2,58
1083,LPS 72h c,0.4000000059604645,3,68
1084,LPS 72h c,0.4000000059604645,4,91
1085,LPS 72h c,0.4000000059604645,5,128
1086,LPS 72h c,0.4000000059604645,6,157
1133,LPS 72h d,0.4000000059604645,0,59
1134,LPS 72h d,0.4000000059604645,1,63
1135,LPS 72h d,0.4000000059604645,2,68
1136,LPS 72h d,0.4000000059604645,3,74
1137,LPS 72h d,0.4000000059604645,4,108
