,dataset,treatment,class,bin,low,high,ratio
176,LPS 24h a,4,low,5.0,5.0,3068.0,0.0016270745200130166
178,LPS 24h a,5,low,1.0,1.0,1108.0,0.0009017132551848512
180,LPS 24h a,6,low,,,1015.0,
182,LPS 24h b,0,low,3.0,3.0,4173.0,0.0007183908045977011
184,LPS 24h b,1,low,2.0,2.0,14.0,0.125
186,LPS 24h b,2,low,1.0,1.0,20.0,0.047619047619047616
188,LPS 24h b,3,low,,,488.0,
190,LPS 24h b,4,low,,,2098.0,
192,LPS 24h b,5,low,5.0,5.0,692.0,0.007173601147776184
194,LPS 24h b,6,low,1.0,1.0,726.0,0.001375515818431912
196,LPS 24h c,0,low,3.0,3.0,4872.0,0.0006153846153846154
198,LPS 24h c,1,low,,,23.0,
200,LPS 24h c,2,low,1.0,1.0,45.0,0.021739130434782608
202,LPS 24h c,3,low,,,426.0,
204,LPS 24h c,4,low,5.0,5.0,1646.0,0.0030284675953967293
206,LPS 24h c,5,low,1.0,1.0,783.0,0.0012755102040816326
208,LPS 24h c,6,low,,,981.0,
210,LPS 24h d,0,low,2.0,2.0,4058.0,0.0004926108374384236
212,LPS 24h d,1,low,1.0,1.0,34.0,0.02857142857142857
214,LPS 24h d,2,low,,,83.0,
216,LPS 24h d,3,low,2.0,2.0,629.0,0.003169572107765452
218,LPS 24h d,4,low,2.0,2.0,1767.0,0.0011305822498586771
220,LPS 24h d,5,low,3.0,3.0,944.0,0.0031678986272439284
222,LPS 24h d,6,low,2.0,2.0,1103.0,0.0018099547511312218
224,LPS 24h e,0,low,4.0,4.0,3651.0,0.001094391244870041
226,LPS 24h e,1,low,3.0,3.0,13.0,0.1875
228,LPS 24h e,2,low,2.0,2.0,32.0,0.058823529411764705
230,LPS 24h e,3,low,,,415.0,
232,LPS 24h e,4,low,1.0,1.0,2241.0,0.00044603033006244426
234,LPS 24h e,5,low,1.0,1.0,1289.0,0.0007751937984496124
236,LPS 24h e,6,low,2.0,2.0,800.0,0.0024937655860349127
238,LPS 24h f,0,low,3.0,3.0,3911.0,0.0007664793050587634
240,LPS 24h f,1,low,3.0,3.0,61.0,0.046875
