,dataset,sm,bin,smmax,treatment
69,FSS 72h d,6,0.7000000178813934,41,41
70,FSS 72h e,0,0.7000000178813934,33,33
71,FSS 72h e,1,0.7000000178813934,4,4
72,FSS 72h e,2,0.7000000178813934,2,2
73,FSS 72h e,3,0.7000000178813934,5,5
74,FSS 72h e,4,0.7000000178813934,34,34
75,FSS 72h e,5,0.7000000178813934,31,31
76,FSS 72h e,6,0.7000000178813934,36,36
77,FSS 72h f,0,0.4000000059604645,13,13
78,FSS 72h f,1,0.4000000059604645,1,1
79,FSS 72h f,2,0.7000000178813934,6,6
80,FSS 72h f,3,0.4000000059604645,2,2
81,FSS 72h f,4,0.7000000178813934,11,11
82,FSS 72h f,5,0.4000000059604645,10,10
83,FSS 72h f,6,0.7000000178813934,13,13
84,LPS 24h a,0,0.7000000178813934,47,47
85,LPS 24h a,1,0.4000000059604645,3,3
86,LPS 24h a,2,0.7000000178813934,6,6
87,LPS 24h a,3,0.4000000059604645,6,6
88,LPS 24h a,4,0.7000000178813934,48,48
89,LPS 24h a,5,0.7000000178813934,36,36
90,LPS 24h a,6,0.4000000059604645,29,29
91,LPS 24h b,0,0.7000000178813934,42,42
92,LPS 24h b,1,0.7000000178813934,5,5
93,LPS 24h b,2,0.7000000178813934,5,5
94,LPS 24h b,3,0.4000000059604645,6,6
95,LPS 24h b,4,0.4000000059604645,28,28
96,LPS 24h b,5,0.7000000178813934,29,29
97,LPS 24h b,6,0.7000000178813934,33,33
98,LPS 24h c,0,0.7000000178813934,39,39
99,LPS 24h c,1,0.4000000059604645,3,3
100,LPS 24h c,2,0.7000000178813934,4,4
101,LPS 24h c,3,0.4000000059604645,7,7
102,LPS 24h c,4,0.7000000178813934,48,48
103,LPS 24h c,5,0.7000000178813934,27,27
104,LPS 24h c,6,0.4000000059604645,37,37
105,LPS 24h d,0,0.7000000178813934,40,40
106,LPS 24h d,1,0.7000000178813934,7,7
107,LPS 24h d,2,0.4000000059604645,4,4
108,LPS 24h d,3,0.7000000178813934,9,9
109,LPS 24h d,4,0.7000000178813934,33,33
110,LPS 24h d,5,0.7000000178813934,35,35
111,LPS 24h d,6,0.7000000178813934,37,37
112,LPS 24h e,0,0.7000000178813934,42,42
113,LPS 24h e,1,0.7000000178813934,5,5
114,LPS 24h e,2,0.7000000178813934,6,6
115,LPS 24h e,3,0.4000000059604645,5,5
116,LPS 24h e,4,0.7000000178813934,47,47
117,LPS 24h e,5,0.7000000178813934,41,41
118,LPS 24h e,6,0.7000000178813934,36,36
119,LPS 24h f,0,0.7000000178813934,33,33
120,LPS 24h f,1,0.7000000178813934,13,13
121,LPS 24h f,2,0.7000000178813934,6,6
122,LPS 24h f,3,0.4000000059604645,9,9
123,LPS 24h f,4,0.4000000059604645,30,30
124,LPS 24h f,5,0.7000000178813934,36,36
125,LPS 24h f,6,0.7000000178813934,26,26
126,LPS 72h a,0,0.7000000178813934,33,33
127,LPS 72h a,1,0.7000000178813934,7,7
128,LPS 72h a,2,0.4000000059604645,6,6
129,LPS 72h a,3,0.7000000178813934,7,7
130,LPS 72h a,4,0.4000000059604645,35,35
131,LPS 72h a,5,0.4000000059604645,33,33
132,LPS 72h a,6,0.7000000178813934,36,36
133,LPS 72h b,0,0.7000000178813934,47,47
134,LPS 72h b,1,0.7000000178813934,4,4
135,LPS 72h b,2,0.7000000178813934,6,6
136,LPS 72h b,3,0.7000000178813934,11,11
137,LPS 72h b,4,0.7000000178813934,30,30
138,LPS 72h b,5,0.7000000178813934,27,27
139,LPS 72h b,6,0.4000000059604645,28,28
140,LPS 72h c,0,0.7000000178813934,36,36
141,LPS 72h c,1,0.7000000178813934,9,9
142,LPS 72h c,2,0.7000000178813934,8,8
143,LPS 72h c,3,0.7000000178813934,11,11
144,LPS 72h c,4,0.7000000178813934,24,24
145,LPS 72h c,5,0.7000000178813934,38,38
146,LPS 72h c,6,0.7000000178813934,31,31
147,LPS 72h d,0,0.7000000178813934,54,54
148,LPS 72h d,1,0.4000000059604645,4,4
149,LPS 72h d,2,0.4000000059604645,5,5
150,LPS 72h d,3,0.4000000059604645,6,6
151,LPS 72h d,4,0.7000000178813934,36,36
152,LPS 72h d,5,0.7000000178813934,44,44
153,LPS 72h d,6,0.7000000178813934,51,51
154,LPS 72h e,0,0.7000000178813934,46,46
155,LPS 72h e,1,0.7000000178813934,6,6
156,LPS 72h e,2,0.7000000178813934,5,5
157,LPS 72h e,3,0.4000000059604645,9,9
158,LPS 72h e,4,0.7000000178813934,42,42
159,LPS 72h e,5,0.7000000178813934,27,27
160,LPS 72h e,6,0.7000000178813934,41,41
161,LPS 72h f,0,0.7000000178813934,34,34
162,LPS 72h f,1,0.7000000178813934,3,3
163,LPS 72h f,2,0.7000000178813934,2,2
164,LPS 72h f,3,0.4000000059604645,7,7
165,LPS 72h f,4,0.4000000059604645,25,25
166,LPS 72h f,5,0.7000000178813934,37,37
167,LPS 72h f,6,0.7000000178813934,25,25
