,dataset,sm,bin,smmax,treatment
0,FSS 24h a,0,0.7000000178813934,31,31
1,FSS 24h a,1,0.7000000178813934,6,6
2,FSS 24h a,2,0.4000000059604645,2,2
3,FSS 24h a,3,0.4000000059604645,8,8
4,FSS 24h a,4,0.7000000178813934,39,39
5,FSS 24h a,5,0.7000000178813934,28,28
6,FSS 24h a,6,0.7000000178813934,23,23
7,FSS 24h b,0,0.7000000178813934,37,37
8,FSS 24h b,1,0.4000000059604645,2,2
9,FSS 24h b,2,0.4000000059604645,1,1
10,FSS 24h b,3,0.4000000059604645,2,2
11,FSS 24h b,4,0.7000000178813934,29,29
12,FSS 24h b,5,0.7000000178813934,22,22
13,FSS 24h b,6,0.7000000178813934,27,27
14,FSS 24h c,0,0.7000000178813934,38,38
15,FSS 24h c,1,0.4000000059604645,4,4
16,FSS 24h c,2,0.7000000178813934,4,4
17,FSS 24h c,3,0.7000000178813934,12,12
18,FSS 24h c,4,0.7000000178813934,23,23
19,FSS 24h c,5,0.4000000059604645,38,38
20,FSS 24h c,6,0.7000000178813934,32,32
21,FSS 24h d,0,0.7000000178813934,59,59
22,FSS 24h d,1,0.7000000178813934,8,8
23,FSS 24h d,2,0.7000000178813934,5,5
24,FSS 24h d,3,0.7000000178813934,13,13
25,FSS 24h d,4,0.7000000178813934,46,46
26,FSS 24h d,5,0.7000000178813934,39,39
27,FSS 24h d,6,0.7000000178813934,43,43
28,FSS 24h e,0,0.7000000178813934,41,41
29,FSS 24h e,1,0.4000000059604645,7,7
30,FSS 24h e,2,0.7000000178813934,2,2
31,FSS 24h e,3,0.4000000059604645,5,5
32,FSS 24h e,4,0.7000000178813934,24,24
33,FSS 24h e,5,0.4000000059604645,38,38
34,FSS 24h e,6,0.7000000178813934,42,42
35,FSS 24h f,0,0.4000000059604645,35,35
36,FSS 24h f,1,0.4000000059604645,5,5
37,FSS 24h f,2,0.4000000059604645,2,2
38,FSS 24h f,3,0.7000000178813934,12,12
39,FSS 24h f,4,0.7000000178813934,32,32
40,FSS 24h f,5,0.4000000059604645,37,37
41,FSS 24h f,6,0.4000000059604645,41,41
42,FSS 72h a,0,0.7000000178813934,35,35
43,FSS 72h a,1,0.7000000178813934,4,4
44,FSS 72h a,2,0.4000000059604645,4,4
45,FSS 72h a,3,0.7000000178813934,5,5
46,FSS 72h a,4,0.7000000178813934,41,41
47,FSS 72h a,5,0.7000000178813934,31,31
48,FSS 72h a,6,0.7000000178813934,21,21
49,FSS 72h b,0,0.7000000178813934,55,55
50,FSS 72h b,1,0.7000000178813934,5,5
51,FSS 72h b,2,0.4000000059604645,7,7
52,FSS 72h b,3,0.7000000178813934,13,13
53,FSS 72h b,4,0.7000000178813934,42,42
54,FSS 72h b,5,0.7000000178813934,35,35
55,FSS 72h b,6,0.7000000178813934,35,35
56,FSS 72h c,0,0.7000000178813934,37,37
57,FSS 72h c,1,0.7000000178813934,15,15
58,FSS 72h c,2,0.7000000178813934,5,5
59,FSS 72h c,3,0.4000000059604645,9,9
60,FSS 72h c,4,0.7000000178813934,28,28
61,FSS 72h c,5,0.7000000178813934,27,27
62,FSS 72h c,6,0.7000000178813934,22,22
63,FSS 72h d,0,0.7000000178813934,58,58
64,FSS 72h d,1,0.4000000059604645,5,5
65,FSS 72h d,2,0.7000000178813934,6,6
66,FSS 72h d,3,0.7000000178813934,9,9
67,FSS 72h d,4,0.7000000178813934,39,39
68,FSS 72h d,5,0.7000000178813934,39,39
